hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,purchase-only,quarterly,State,Alaska,AK,1991,1,0.0,100.0
traditional,purchase-only,quarterly,State,Alaska,AK,1992,1,3.06,103.01
traditional,purchase-only,quarterly,State,Alaska,AK,1993,1,5.16,105.02
traditional,purchase-only,quarterly,State,Alaska,AK,1994,1,11.51,111.26
traditional,purchase-only,quarterly,State,Alaska,AK,1995,1,14.8,114.52
traditional,purchase-only,quarterly,State,Alaska,AK,1996,1,20.82,120.56
traditional,purchase-only,quarterly,State,Alaska,AK,1997,1,23.35,123.26
traditional,purchase-only,quarterly,State,Alaska,AK,1998,1,26.53,126.66
traditional,purchase-only,quarterly,State,Alaska,AK,1999,1,32.17,132.61
traditional,purchase-only,quarterly,State,Alaska,AK,2000,1,32.86,133.44
traditional,purchase-only,quarterly,State,Alaska,AK,2001,1,40.39,141.07
traditional,purchase-only,quarterly,State,Alaska,AK,2002,1,49.21,149.91
traditional,purchase-only,quarterly,State,Alaska,AK,2003,1,60.76,161.56
traditional,purchase-only,quarterly,State,Alaska,AK,2004,1,74.8,175.73
traditional,purchase-only,quarterly,State,Alaska,AK,2005,1,91.56,192.89
traditional,purchase-only,quarterly,State,Alaska,AK,2006,1,111.45,213.24
traditional,purchase-only,quarterly,State,Alaska,AK,2007,1,120.95,223.4
traditional,purchase-only,quarterly,State,Alaska,AK,2008,1,116.91,219.65
traditional,purchase-only,quarterly,State,Alaska,AK,2009,1,123.13,226.43
traditional,purchase-only,quarterly,State,Alaska,AK,2010,1,110.72,213.99
traditional,purchase-only,quarterly,State,Alaska,AK,2011,1,121.65,225.45
traditional,purchase-only,quarterly,State,Alaska,AK,2012,1,115.27,218.93
traditional,purchase-only,quarterly,State,Alaska,AK,2013,1,124.78,228.69
traditional,purchase-only,quarterly,State,Alaska,AK,2014,1,127.21,230.72
traditional,purchase-only,quarterly,State,Alaska,AK,2015,1,138.18,241.42
traditional,purchase-only,quarterly,State,Alaska,AK,2016,1,143.03,245.63
traditional,purchase-only,quarterly,State,Alaska,AK,2017,1,148.07,250.32
traditional,purchase-only,quarterly,State,Alaska,AK,2018,1,153.37,255.41
traditional,purchase-only,quarterly,State,Alaska,AK,2019,1,157.35,259.5
traditional,purchase-only,quarterly,State,Alaska,AK,2020,1,165.41,267.76
traditional,purchase-only,quarterly,State,Alaska,AK,2021,1,188.12,290.92
traditional,purchase-only,quarterly,State,Alaska,AK,2022,1,221.51,324.58
traditional,purchase-only,quarterly,State,Alaska,AK,2023,1,241.58,344.7
traditional,purchase-only,quarterly,State,Alaska,AK,2024,1,257.12,360.01
traditional,purchase-only,quarterly,State,Alabama,AL,1991,1,0.0,100.0
traditional,purchase-only,quarterly,State,Alabama,AL,1992,1,4.2,104.2
traditional,purchase-only,quarterly,State,Alabama,AL,1993,1,8.8,108.79
traditional,purchase-only,quarterly,State,Alabama,AL,1994,1,14.05,114.01
traditional,purchase-only,quarterly,State,Alabama,AL,1995,1,18.55,118.46
traditional,purchase-only,quarterly,State,Alabama,AL,1996,1,22.71,122.55
traditional,purchase-only,quarterly,State,Alabama,AL,1997,1,27.78,127.57
traditional,purchase-only,quarterly,State,Alabama,AL,1998,1,30.85,130.57
traditional,purchase-only,quarterly,State,Alabama,AL,1999,1,36.28,135.97
traditional,purchase-only,quarterly,State,Alabama,AL,2000,1,41.01,140.72
